"name","email","address","state","zip","phone","type","card"
"Μαρία","maria@gmail.com","Κασομούλη","Athens","11745","+302109025525","Visa","1234123412341234"
"Μαρία",,,"Bulgaria","12345",,"Visa","1234123412341234"
"Μαρία",,,"Austria","12345",,"Visa","1234123412341234"
"Μαρία",,,"Select a state","12345",,"Visa","1234123412341234"
"Μαρία",,,"Bulgaria","12345",,"American Express","1234123412341234"
"Μαρία",,,"Select a state","12345",,"American Express","1234123412341234"
"Μαρία",,,"Select a state","12345",,"American Express","1234123412341234"
"Μαρία",,,"Switzerland","12345",,"American Express","1234123412341234"
"Μαρία",,,"Cyprus","12345",,"American Express","1234123412341234"
"Μαρία",,,"Select a state","12345",,"American Express","1234123412341234"
"Μαρία",,,"Czechia","12345",,"American Express","1234123412341234"
"Έλενα",,,"Belgium","12345",,"American Express","1234123412341234"
"Maria","amor@gmail.com","kasomouli","Greece","11745","+302109025523","Visa","1234123412341234"
"elena","elena@gmail.com","Anodou","Hungary","11111","+302109025525","American Express","1234123412341234"
"aggelos","elena@gmail.com","Anodou","Select a state","11111","+302109025525","American Express","1234123412341234"
"aggelos","elena@gmail.com","Anodou","Select a state","11111","+302109025525","American Express","1234123412341234"
"aggelos","elena@gmail.com","Anodou","Select a state","11111","+302109025525","American Express","1234123412341234"
"Mariwwwwwwwa","maria@gmail.com","kaa","Ireland","11111","+302109025525","American Express","1234123412341234"
"Maria","maria@gmail.com","Kasomouli","Greece","11111","+302109025525","Visa","1234123412341234"
"Mariwwwwwwwa","maria@gmail.com","Kasomouli","Austria","11111","+302109025525","Visa","1234123412341234"
"Giannhs","maria@gmail.com","Gian","Ireland","11111","+302109025525","American Express","1234123412341234"
"test","test1@gmail.com","sjjs","Greece","11111","+302109025525","Visa","1234123412341234"
"test","test1@gmail.com","sjjs","Greece","11111","+302109025525","Visa","1234123412341234"
"test2","test2@gmail.com","test2","Hungary","11111","+302109025525","MasterCard","1234123412341234"
"test3","test3@gmail.com","test3","Croatia","11111","+302109025525","Visa","1234123412341234"
"test4","test4@gmail.com","test4","Ireland","11111","+302109025525","Visa","1234123412341234"
"test5","test5@gmail.com","sbss","Croatia","11111","+302109025525","Visa","1234123412341234"
"ddd","ssd","   ","Hungary","11111","+302109025525","American Express","1234123412341234"
"test","test1@gmail.com","sjjs","Select a state","11111","+302109025525","Select a type","1234123412341234"
"test000","test000@gmail.com","test","Liechtenstein","11111","+302109025523","American Express","1234123412341234"
"dfdffd","fdfdfdf","fdfdfd","Liechtenstein","11111","+302109025525","Visa","1234123412341234"
"dffd","fffd","ddfd","Not Selected","11111","+302109025525","American Express","1234123412341234"
"test000","test000@gmail.com","test","Liechtenstein","11111","+302109025523","American Express","1234123412341234"
"fggg","test@gmail.com","fffd","Belgium","11111","+302109025525","Visa","1234123412341234"
"Μαρία","test1000@gmail.com","Κασομούλη","France","11111","+302109025525","American Express","1234123412341234"
"δκκ","test@gmail.com","kkdd","Finland","11111","+302109025525","Visa","1234123412341234"
"dfdfdfd","test@test.com","fddfdf","France","12345","+302109025525","Visa","1234123412341234"
,"test21@gmail.com",,"Not Selected","11111","+302109025525","Not Selected","1234123412341234"
,"test21@gmail.com",,"Not Selected","11111","+302109025525","Not Selected","1234123412341234"
"Μαρία Αμοργιανού","test@gmail.com","Κασομούλη","Greece","11111","+302109025525","American Express","1234123412341234"
"Μαρία","testtest2@gmail.com","Μήτρου","Austria","11111","+302109025525","Visa","1234123412341234"
